Freq.,Vvo/Vvi
1.00000000000000e-003,-1.47548822651514e-001,1.79999918094064e+002
1.00230523807790e-003,-1.47548822651600e-001,1.79999917905252e+002
1.00461579027840e-003,-1.47548822651480e-001,1.79999917716004e+002
1.00693166885180e-003,-1.47548822651533e-001,1.79999917526319e+002
1.00925288607668e-003,-1.47548822651585e-001,1.79999917336198e+002
1.01157945425990e-003,-1.47548822651622e-001,1.79999917145638e+002
1.01391138573668e-003,-1.47548822651596e-001,1.79999916954639e+002
1.01624869287070e-003,-1.47548822651601e-001,1.79999916763200e+002
1.01859138805412e-003,-1.47548822651558e-001,1.79999916571319e+002
1.02093948370768e-003,-1.47548822651625e-001,1.79999916378996e+002
1.02329299228075e-003,-1.47548822651646e-001,1.79999916186230e+002
1.02565192625141e-003,-1.47548822651571e-001,1.79999915993019e+002
1.02801629812647e-003,-1.47548822651544e-001,1.79999915799363e+002
1.03038612044162e-003,-1.47548822651611e-001,1.79999915605261e+002
1.03276140576140e-003,-1.47548822651552e-001,1.79999915410711e+002
1.03514216667934e-003,-1.47548822651602e-001,1.79999915215712e+002
1.03752841581801e-003,-1.47548822651511e-001,1.79999915020264e+002
1.03992016582906e-003,-1.47548822651467e-001,1.79999914824366e+002
1.04231742939330e-003,-1.47548822651564e-001,1.79999914628016e+002
1.04472021922080e-003,-1.47548822651535e-001,1.79999914431213e+002
1.04712854805090e-003,-1.47548822651538e-001,1.79999914233956e+002
1.04954242865232e-003,-1.47548822651571e-001,1.79999914036245e+002
1.05196187382322e-003,-1.47548822651620e-001,1.79999913838078e+002
1.05438689639126e-003,-1.47548822651559e-001,1.79999913639455e+002
1.05681750921366e-003,-1.47548822651576e-001,1.79999913440373e+002
1.05925372517729e-003,-1.47548822651483e-001,1.79999913240832e+002
1.06169555719872e-003,-1.47548822651548e-001,1.79999913040832e+002
1.06414301822431e-003,-1.47548822651611e-001,1.79999912840370e+002
1.06659612123026e-003,-1.47548822651581e-001,1.79999912639447e+002
1.06905487922266e-003,-1.47548822651565e-001,1.79999912438060e+002
1.07151930523760e-003,-1.47548822651597e-001,1.79999912236209e+002
1.07398941234124e-003,-1.47548822651659e-001,1.79999912033892e+002
1.07646521362983e-003,-1.47548822651644e-001,1.79999911831109e+002
1.07894672222983e-003,-1.47548822651564e-001,1.79999911627859e+002
1.08143395129794e-003,-1.47548822651564e-001,1.79999911424140e+002
1.08392691402120e-003,-1.47548822651579e-001,1.79999911219952e+002
1.08642562361706e-003,-1.47548822651688e-001,1.79999911015293e+002
1.08893009333343e-003,-1.47548822651655e-001,1.79999910810162e+002
1.09144033644875e-003,-1.47548822651591e-001,1.79999910604558e+002
1.09395636627209e-003,-1.47548822651542e-001,1.79999910398480e+002
1.09647819614318e-003,-1.47548822651541e-001,1.79999910191927e+002
1.09900583943252e-003,-1.47548822651554e-001,1.79999909984898e+002
1.10153930954141e-003,-1.47548822651583e-001,1.79999909777392e+002
1.10407861990207e-003,-1.47548822651643e-001,1.79999909569407e+002
1.10662378397766e-003,-1.47548822651671e-001,1.79999909360943e+002
1.10917481526240e-003,-1.47548822651558e-001,1.79999909151999e+002
1.11173172728159e-003,-1.47548822651634e-001,1.79999908942573e+002
1.11429453359173e-003,-1.47548822651520e-001,1.79999908732664e+002
1.11686324778056e-003,-1.47548822651673e-001,1.79999908522271e+002
1.11943788346715e-003,-1.47548822651638e-001,1.79999908311393e+002
1.12201845430196e-003,-1.47548822651650e-001,1.79999908100029e+002
1.12460497396692e-003,-1.47548822651551e-001,1.79999907888177e+002
1.12719745617551e-003,-1.47548822651593e-001,1.79999907675838e+002
1.12979591467279e-003,-1.47548822651619e-001,1.79999907463008e+002
1.13240036323555e-003,-1.47548822651677e-001,1.79999907249689e+002
1.13501081567231e-003,-1.47548822651655e-001,1.79999907035877e+002
1.13762728582343e-003,-1.47548822651666e-001,1.79999906821573e+002
1.14024978756117e-003,-1.47548822651613e-001,1.79999906606774e+002
1.14287833478977e-003,-1.47548822651528e-001,1.79999906391481e+002
1.14551294144553e-003,-1.47548822651601e-001,1.79999906175691e+002
