second,Volt
-250.0000E-06,+230.0000098E-03
-249.5000E-06,+255.0000101E-03
-249.0000E-06,+255.0000101E-03
-248.5000E-06,+273.7500104E-03
-248.0000E-06,+286.2500106E-03
-247.5000E-06,+298.7500108E-03
-247.0000E-06,+311.2500110E-03
-246.5000E-06,+323.7500112E-03
-246.0000E-06,+330.0000113E-03
-245.5000E-06,+342.5000114E-03
-245.0000E-06,+348.7500115E-03
-244.5000E-06,+361.2500117E-03
-244.0000E-06,+367.5000118E-03
-243.5000E-06,+380.0000120E-03
-243.0000E-06,+392.5000122E-03
-242.5000E-06,+398.7500123E-03
-242.0000E-06,+417.5000126E-03
-241.5000E-06,+417.5000126E-03
-241.0000E-06,+430.0000127E-03
-240.5000E-06,+436.2500128E-03
-240.0000E-06,+442.5000129E-03
-239.5000E-06,+461.2500132E-03
-239.0000E-06,+461.2500132E-03
-238.5000E-06,+467.5000133E-03
-238.0000E-06,+473.7500134E-03
-237.5000E-06,+486.2500136E-03
-237.0000E-06,+492.5000137E-03
-236.5000E-06,+486.2500136E-03
-236.0000E-06,+505.0000139E-03
-235.5000E-06,+511.2500140E-03
-235.0000E-06,+511.2500140E-03
-234.5000E-06,+523.7500141E-03
-234.0000E-06,+530.0000142E-03
-233.5000E-06,+523.7500141E-03
-233.0000E-06,+536.2500143E-03
-232.5000E-06,+536.2500143E-03
-232.0000E-06,+542.5000144E-03
-231.5000E-06,+548.7500145E-03
-231.0000E-06,+548.7500145E-03
-230.5000E-06,+548.7500145E-03
-230.0000E-06,+555.0000146E-03
-229.5000E-06,+555.0000146E-03
-229.0000E-06,+561.2500147E-03
-228.5000E-06,+561.2500147E-03
-228.0000E-06,+555.0000146E-03
-227.5000E-06,+561.2500147E-03
-227.0000E-06,+561.2500147E-03
-226.5000E-06,+561.2500147E-03
-226.0000E-06,+561.2500147E-03
-225.5000E-06,+561.2500147E-03
-225.0000E-06,+561.2500147E-03
-224.5000E-06,+561.2500147E-03
-224.0000E-06,+555.0000146E-03
-223.5000E-06,+555.0000146E-03
