second,Volt
-270.0000E-06,+503.7500076E-03
-269.5000E-06,+497.5000075E-03
-269.0000E-06,+503.7500076E-03
-268.5000E-06,+497.5000075E-03
-268.0000E-06,+503.7500076E-03
-267.5000E-06,+497.5000075E-03
-267.0000E-06,+497.5000075E-03
-266.5000E-06,+497.5000075E-03
-266.0000E-06,+503.7500076E-03
-265.5000E-06,+497.5000075E-03
-265.0000E-06,+497.5000075E-03
-264.5000E-06,+497.5000075E-03
-264.0000E-06,+497.5000075E-03
-263.5000E-06,+497.5000075E-03
-263.0000E-06,+497.5000075E-03
-262.5000E-06,+491.2500074E-03
-262.0000E-06,+491.2500074E-03
-261.5000E-06,+491.2500074E-03
-261.0000E-06,+491.2500074E-03
-260.5000E-06,+485.0000073E-03
-260.0000E-06,+491.2500074E-03
-259.5000E-06,+491.2500074E-03
-259.0000E-06,+485.0000073E-03
-258.5000E-06,+485.0000073E-03
-258.0000E-06,+485.0000073E-03
-257.5000E-06,+478.7500072E-03
-257.0000E-06,+485.0000073E-03
-256.5000E-06,+478.7500072E-03
-256.0000E-06,+478.7500072E-03
-255.5000E-06,+478.7500072E-03
-255.0000E-06,+478.7500072E-03
-254.5000E-06,+472.5000071E-03
-254.0000E-06,+478.7500072E-03
-253.5000E-06,+472.5000071E-03
-253.0000E-06,+472.5000071E-03
-252.5000E-06,+466.2500070E-03
-252.0000E-06,+472.5000071E-03
-251.5000E-06,+466.2500070E-03
-251.0000E-06,+466.2500070E-03
-250.5000E-06,+460.0000069E-03
-250.0000E-06,+460.0000069E-03
-249.5000E-06,+453.7500069E-03
-249.0000E-06,+460.0000069E-03
-248.5000E-06,+453.7500069E-03
-248.0000E-06,+453.7500069E-03
-247.5000E-06,+447.5000068E-03
-247.0000E-06,+453.7500069E-03
-246.5000E-06,+447.5000068E-03
-246.0000E-06,+447.5000068E-03
-245.5000E-06,+441.2500067E-03
-245.0000E-06,+441.2500067E-03
-244.5000E-06,+435.0000066E-03
-244.0000E-06,+428.7500065E-03
-243.5000E-06,+428.7500065E-03
-243.0000E-06,+428.7500065E-03
-242.5000E-06,+428.7500065E-03
-242.0000E-06,+422.5000064E-03
