second,Volt
-10.00000E-03,-670.10000E-03
-9.98000E-03,-682.60000E-03
-9.96000E-03,-688.85000E-03
-9.94000E-03,-695.10000E-03
-9.92000E-03,-701.35000E-03
-9.90000E-03,-713.85000E-03
-9.88000E-03,-713.85000E-03
-9.86000E-03,-720.10000E-03
-9.84000E-03,-726.35000E-03
-9.82000E-03,-738.85000E-03
-9.80000E-03,-738.85000E-03
-9.78000E-03,-751.35000E-03
-9.76000E-03,-757.60000E-03
-9.74000E-03,-763.85000E-03
-9.72000E-03,-770.10000E-03
-9.70000E-03,-776.35000E-03
-9.68000E-03,-788.85000E-03
-9.66000E-03,-788.85000E-03
-9.64000E-03,-795.10000E-03
-9.62000E-03,-801.35000E-03
-9.60000E-03,-807.60000E-03
-9.58000E-03,-820.10000E-03
-9.56000E-03,-826.35000E-03
-9.54000E-03,-838.85000E-03
-9.52000E-03,-845.10000E-03
-9.50000E-03,-845.10000E-03
-9.48000E-03,-857.60000E-03
-9.46000E-03,-857.60000E-03
-9.44000E-03,-870.10000E-03
-9.42000E-03,-882.60000E-03
-9.40000E-03,-888.85000E-03
-9.38000E-03,-895.10000E-03
-9.36000E-03,-895.10000E-03
-9.34000E-03,-907.60000E-03
-9.32000E-03,-907.60000E-03
-9.30000E-03,-920.10000E-03
-9.28000E-03,-932.60000E-03
-9.26000E-03,-938.85000E-03
-9.24000E-03,-945.10000E-03
-9.22000E-03,-951.35000E-03
-9.20000E-03,-963.85000E-03
-9.18000E-03,-970.10000E-03
-9.16000E-03,-976.35000E-03
-9.14000E-03,-988.85000E-03
-9.12000E-03,-988.85000E-03
-9.10000E-03,-1.00135000E+00
-9.08000E-03,-1.00135000E+00
-9.06000E-03,-1.00760000E+00
-9.04000E-03,-1.01385000E+00
-9.02000E-03,-1.00760000E+00
-9.00000E-03,-1.00760000E+00
-8.98000E-03,-988.85000E-03
-8.96000E-03,-988.85000E-03
-8.94000E-03,-982.60000E-03
-8.92000E-03,-970.10000E-03
-8.90000E-03,-963.85000E-03
-8.88000E-03,-951.35000E-03
-8.86000E-03,-951.35000E-03
-8.84000E-03,-945.10000E-03
-8.82000E-03,-938.85000E-03
-8.80000E-03,-920.10000E-03
-8.78000E-03,-913.85000E-03
-8.76000E-03,-913.85000E-03
-8.74000E-03,-901.35000E-03
-8.72000E-03,-895.10000E-03
-8.70000E-03,-882.60000E-03
-8.68000E-03,-882.60000E-03
-8.66000E-03,-870.10000E-03
-8.64000E-03,-870.10000E-03
-8.62000E-03,-857.60000E-03
-8.60000E-03,-845.10000E-03
-8.58000E-03,-838.85000E-03
-8.56000E-03,-832.60000E-03
-8.54000E-03,-826.35000E-03
-8.52000E-03,-813.85000E-03
-8.50000E-03,-813.85000E-03
-8.48000E-03,-807.60000E-03
-8.46000E-03,-795.10000E-03
-8.44000E-03,-788.85000E-03
-8.42000E-03,-782.60000E-03
-8.40000E-03,-776.35000E-03
-8.38000E-03,-763.85000E-03
-8.36000E-03,-763.85000E-03
-8.34000E-03,-751.35000E-03
-8.32000E-03,-751.35000E-03
-8.30000E-03,-738.85000E-03
-8.28000E-03,-732.60000E-03
-8.26000E-03,-732.60000E-03
-8.24000E-03,-720.10000E-03
-8.22000E-03,-720.10000E-03
-8.20000E-03,-707.60000E-03
-8.18000E-03,-701.35000E-03
-8.16000E-03,-695.10000E-03
-8.14000E-03,-688.85000E-03
-8.12000E-03,-682.60000E-03
-8.10000E-03,-676.35000E-03
-8.08000E-03,-670.10000E-03
-8.06000E-03,-663.85000E-03
-8.04000E-03,-651.34999E-03
-8.02000E-03,-651.34999E-03
-8.00000E-03,-645.09999E-03
-7.98000E-03,-638.84999E-03
-7.96000E-03,-626.34999E-03
-7.94000E-03,-613.84999E-03
-7.92000E-03,-613.84999E-03
-7.90000E-03,-613.84999E-03
-7.88000E-03,-601.34999E-03
-7.86000E-03,-595.09999E-03
-7.84000E-03,-582.59999E-03
-7.82000E-03,-582.59999E-03
-7.80000E-03,-582.59999E-03
-7.78000E-03,-576.34999E-03
-7.76000E-03,-563.84999E-03
-7.74000E-03,-563.84999E-03
-7.72000E-03,-557.59999E-03
-7.70000E-03,-545.09999E-03
-7.68000E-03,-545.09999E-03
-7.66000E-03,-538.84999E-03
-7.64000E-03,-532.59999E-03
-7.62000E-03,-520.09999E-03
-7.60000E-03,-513.84999E-03
-7.58000E-03,-513.84999E-03
-7.56000E-03,-507.59999E-03
-7.54000E-03,-501.34999E-03
-7.52000E-03,-495.09999E-03
-7.50000E-03,-495.09999E-03
-7.48000E-03,-482.59999E-03
-7.46000E-03,-482.59999E-03
-7.44000E-03,-476.34999E-03
-7.42000E-03,-463.84999E-03
-7.40000E-03,-463.84999E-03
-7.38000E-03,-463.84999E-03
-7.36000E-03,-457.59999E-03
-7.34000E-03,-451.34999E-03
-7.32000E-03,-445.09999E-03
-7.30000E-03,-438.84999E-03
-7.28000E-03,-426.34999E-03
-7.26000E-03,-426.34999E-03
-7.24000E-03,-426.34999E-03
-7.22000E-03,-420.09999E-03
-7.20000E-03,-407.59999E-03
-7.18000E-03,-407.59999E-03
-7.16000E-03,-395.09999E-03
-7.14000E-03,-395.09999E-03
-7.12000E-03,-388.84999E-03
-7.10000E-03,-388.84999E-03
-7.08000E-03,-382.59999E-03
-7.06000E-03,-376.34999E-03
-7.04000E-03,-370.09999E-03
-7.02000E-03,-363.84999E-03
-7.00000E-03,-363.84999E-03
-6.98000E-03,-357.59999E-03
-6.96000E-03,-351.34999E-03
-6.94000E-03,-351.34999E-03
-6.92000E-03,-345.09999E-03
-6.90000E-03,-332.59999E-03
-6.88000E-03,-332.59999E-03
-6.86000E-03,-332.59999E-03
-6.84000E-03,-320.09999E-03
-6.82000E-03,-320.09999E-03
-6.80000E-03,-320.09999E-03
-6.78000E-03,-313.84999E-03
-6.76000E-03,-307.59999E-03
-6.74000E-03,-301.34999E-03
-6.72000E-03,-301.34999E-03
-6.70000E-03,-295.09999E-03
-6.68000E-03,-288.84999E-03
-6.66000E-03,-282.59999E-03
-6.64000E-03,-276.34999E-03
-6.62000E-03,-282.59999E-03
-6.60000E-03,-276.34999E-03
-6.58000E-03,-270.09999E-03
-6.56000E-03,-263.84999E-03
-6.54000E-03,-257.59999E-03
-6.52000E-03,-257.59999E-03
-6.50000E-03,-251.34999E-03
-6.48000E-03,-245.09999E-03
-6.46000E-03,-251.34999E-03
-6.44000E-03,-238.84999E-03
-6.42000E-03,-232.59999E-03
-6.40000E-03,-232.59999E-03
-6.38000E-03,-232.59999E-03
-6.36000E-03,-220.09999E-03
-6.34000E-03,-220.09999E-03
-6.32000E-03,-213.84999E-03
