second,Volt1,Volt2,Volt3,Volt4
-2.500000E-03,+123.750003E-03,+47.500001E-03,+50.000001E-03,-131.350002E-03
-2.495000E-03,+123.750003E-03,+47.500001E-03,+40.625001E-03,-143.850002E-03
-2.490000E-03,+123.750003E-03,+41.250001E-03,+37.500001E-03,-137.600002E-03
-2.485000E-03,+130.000003E-03,-71.250001E-03,-65.625001E-03,-131.350002E-03
-2.480000E-03,+136.250003E-03,+22.500000E-03,-0.0E+00,-125.100002E-03
-2.475000E-03,+130.000003E-03,+16.250000E-03,+0.0E+00,-131.350002E-03
-2.470000E-03,+142.500003E-03,+10.000000E-03,+0.0E+00,-118.850002E-03
-2.465000E-03,+142.500003E-03,+3.750000E-03,-3.125000E-03,-131.350002E-03
-2.460000E-03,+142.500003E-03,-15.000000E-03,+18.750000E-03,-125.100002E-03
-2.455000E-03,+142.500003E-03,-8.750000E-03,-3.125000E-03,-118.850002E-03
-2.450000E-03,+148.750003E-03,-15.000000E-03,-9.375000E-03,-125.100002E-03
-2.445000E-03,+148.750003E-03,-21.250000E-03,-15.625000E-03,-112.600002E-03
-2.440000E-03,+155.000003E-03,-21.250000E-03,-21.875000E-03,-125.100002E-03
-2.435000E-03,+148.750003E-03,-77.500001E-03,-125.000002E-03,-118.850002E-03
-2.430000E-03,+161.250003E-03,-33.750000E-03,-0.0E+00,-112.600002E-03
-2.425000E-03,+167.500003E-03,-40.000001E-03,+0.0E+00,-118.850002E-03
-2.420000E-03,+161.250003E-03,-40.000001E-03,-3.125000E-03,-112.600002E-03
-2.415000E-03,+167.500003E-03,-58.750001E-03,-3.125000E-03,-106.350001E-03
-2.410000E-03,+167.500003E-03,-58.750001E-03,+15.625000E-03,-106.350001E-03
-2.405000E-03,+167.500003E-03,-71.250001E-03,-62.500001E-03,-112.600002E-03
-2.400000E-03,+161.250003E-03,-77.500001E-03,-71.875001E-03,-106.350001E-03
-2.395000E-03,+173.750003E-03,-71.250001E-03,-78.125001E-03,-100.100001E-03
-2.390000E-03,+167.500003E-03,-83.750001E-03,-81.250001E-03,-93.850001E-03
-2.385000E-03,+167.500003E-03,-83.750001E-03,-165.625002E-03,-93.850001E-03
-2.380000E-03,+167.500003E-03,-96.250001E-03,-3.125000E-03,-100.100001E-03
-2.375000E-03,+173.750003E-03,-96.250001E-03,-3.125000E-03,-87.600001E-03
-2.370000E-03,+167.500003E-03,-102.500001E-03,-6.250000E-03,-93.850001E-03
-2.365000E-03,+173.750003E-03,-115.000002E-03,-3.125000E-03,-87.600001E-03
-2.360000E-03,+173.750003E-03,-127.500002E-03,+15.625000E-03,-81.350001E-03
-2.355000E-03,+167.500003E-03,-127.500002E-03,-121.875002E-03,-87.600001E-03
-2.350000E-03,+173.750003E-03,-127.500002E-03,-128.125002E-03,-81.350001E-03
-2.345000E-03,+173.750003E-03,-133.750002E-03,-128.125002E-03,-81.350001E-03
-2.340000E-03,+167.500003E-03,-140.000002E-03,-134.375002E-03,-75.100001E-03
-2.335000E-03,+167.500003E-03,-96.250001E-03,-209.375003E-03,-62.600001E-03
-2.330000E-03,+173.750003E-03,-146.250002E-03,-9.375000E-03,-75.100001E-03
-2.325000E-03,+167.500003E-03,-158.750002E-03,-6.250000E-03,-56.350001E-03
-2.320000E-03,+173.750003E-03,-158.750002E-03,-6.250000E-03,-68.850001E-03
-2.315000E-03,+167.500003E-03,-158.750002E-03,-6.250000E-03,-56.350001E-03
-2.310000E-03,+173.750003E-03,-177.500003E-03,+6.250000E-03,-62.600001E-03
-2.305000E-03,+173.750003E-03,-165.000002E-03,-168.750003E-03,-56.350001E-03
-2.300000E-03,+161.250003E-03,-177.500003E-03,-178.125003E-03,-50.100001E-03
-2.295000E-03,+155.000003E-03,-177.500003E-03,-178.125003E-03,-50.100001E-03
-2.290000E-03,+155.000003E-03,-183.750003E-03,-181.250003E-03,-43.850000E-03
-2.285000E-03,+161.250003E-03,-115.000002E-03,-237.500004E-03,-37.600000E-03
-2.280000E-03,+161.250003E-03,-190.000003E-03,-6.250000E-03,-43.850000E-03
-2.275000E-03,+155.000003E-03,-196.250003E-03,-9.375000E-03,-25.100000E-03
-2.270000E-03,+155.000003E-03,-196.250003E-03,-6.250000E-03,-37.600000E-03
-2.265000E-03,+155.000003E-03,-208.750003E-03,-6.250000E-03,-18.850000E-03
-2.260000E-03,+148.750003E-03,-215.000003E-03,+6.250000E-03,-25.100000E-03
-2.255000E-03,+142.500003E-03,-215.000003E-03,-206.250003E-03,-31.350000E-03
-2.250000E-03,+142.500003E-03,-215.000003E-03,-212.500003E-03,-18.850000E-03
