second,Volt1,Volt2,Volt3,Volt4
-5.00000E-03,-44.37500E-03,-126.25000E-03,-128.12500E-03,+115.57500E-03
-4.99000E-03,-44.37500E-03,-123.12500E-03,-9.37500E-03,+115.57500E-03
-4.98000E-03,-50.62500E-03,-116.87500E-03,-6.25000E-03,+109.32500E-03
-4.97000E-03,-47.50000E-03,-116.87500E-03,-112.50000E-03,+103.07500E-03
-4.96000E-03,-50.62500E-03,-113.75000E-03,-109.37500E-03,+106.20000E-03
-4.95000E-03,-53.75000E-03,-104.37500E-03,-106.25000E-03,+109.32500E-03
-4.94000E-03,-53.75000E-03,-104.37500E-03,-6.25000E-03,+103.07500E-03
-4.93000E-03,-56.87500E-03,-101.25000E-03,-6.25000E-03,+103.07500E-03
-4.92000E-03,-56.87500E-03,-98.12500E-03,-96.87500E-03,+96.82500E-03
-4.91000E-03,-63.12500E-03,-98.12500E-03,-90.62500E-03,+93.70000E-03
-4.90000E-03,-63.12500E-03,-91.87500E-03,-90.62500E-03,+90.57500E-03
-4.89000E-03,-63.12500E-03,-91.87500E-03,-6.25000E-03,+84.32500E-03
-4.88000E-03,-66.25000E-03,-85.62500E-03,-6.25000E-03,+81.20000E-03
-4.87000E-03,-66.25000E-03,-85.62500E-03,-81.25000E-03,+81.20000E-03
-4.86000E-03,-69.37500E-03,-79.37500E-03,-78.12500E-03,+81.20000E-03
-4.85000E-03,-69.37500E-03,-85.62500E-03,-81.25000E-03,+65.57500E-03
-4.84000E-03,-72.50000E-03,-79.37500E-03,-6.25000E-03,+71.82500E-03
-4.83000E-03,-72.50000E-03,-70.00000E-03,-6.25000E-03,+74.95000E-03
-4.82000E-03,-75.62500E-03,-70.00000E-03,-68.75000E-03,+65.57500E-03
-4.81000E-03,-72.50000E-03,-66.87500E-03,-65.62500E-03,+74.95000E-03
-4.80000E-03,-75.62500E-03,-66.87500E-03,-65.62500E-03,+71.82500E-03
-4.79000E-03,-75.62500E-03,-60.62500E-03,-6.25000E-03,+68.70000E-03
-4.78000E-03,-78.75000E-03,-60.62500E-03,-0.0E+00,+68.70000E-03
-4.77000E-03,-78.75000E-03,-57.50000E-03,-59.37500E-03,+62.45000E-03
-4.76000E-03,-85.00000E-03,-54.37500E-03,-56.25000E-03,+49.95000E-03
-4.75000E-03,-81.87500E-03,-145.00000E-03,-118.75000E-03,+53.07500E-03
-4.74000E-03,-85.00000E-03,-51.25000E-03,-6.25000E-03,+53.07500E-03
-4.73000E-03,-88.12500E-03,-45.00000E-03,-6.25000E-03,+56.20000E-03
-4.72000E-03,-85.00000E-03,-45.00000E-03,-43.75000E-03,+49.95000E-03
-4.71000E-03,-85.00000E-03,-45.00000E-03,-43.75000E-03,+49.95000E-03
-4.70000E-03,-88.12500E-03,+36.25000E-03,-118.75000E-03,+53.07500E-03
-4.69000E-03,-91.25000E-03,-38.75000E-03,-6.25000E-03,+43.70000E-03
-4.68000E-03,-91.25000E-03,-35.62500E-03,-6.25000E-03,+49.95000E-03
-4.67000E-03,-94.37500E-03,-35.62500E-03,-31.25000E-03,+46.82500E-03
-4.66000E-03,-91.25000E-03,-32.50000E-03,-31.25000E-03,+37.45000E-03
-4.65000E-03,-88.12500E-03,+1.87500E-03,-93.75000E-03,+53.07500E-03
-4.64000E-03,-94.37500E-03,-29.37500E-03,-3.12500E-03,+43.70000E-03
-4.63000E-03,-91.25000E-03,-26.25000E-03,-3.12500E-03,+40.57500E-03
-4.62000E-03,-94.37500E-03,-29.37500E-03,-25.00000E-03,+34.32500E-03
-4.61000E-03,-91.25000E-03,-23.12500E-03,-25.00000E-03,+28.07500E-03
-4.60000E-03,-91.25000E-03,-54.37500E-03,-75.00000E-03,+31.20000E-03
-4.59000E-03,-94.37500E-03,-23.12500E-03,-3.12500E-03,+24.95000E-03
-4.58000E-03,-94.37500E-03,-23.12500E-03,-3.12500E-03,+40.57500E-03
-4.57000E-03,-94.37500E-03,-20.00000E-03,-18.75000E-03,+34.32500E-03
-4.56000E-03,-97.50000E-03,-13.75000E-03,-21.87500E-03,+28.07500E-03
-4.55000E-03,-94.37500E-03,-16.87500E-03,-59.37500E-03,+21.82500E-03
-4.54000E-03,-94.37500E-03,-16.87500E-03,-6.25000E-03,+28.07500E-03
-4.53000E-03,-94.37500E-03,-13.75000E-03,-6.25000E-03,+21.82500E-03
-4.52000E-03,-94.37500E-03,-10.62500E-03,-12.50000E-03,+24.95000E-03
-4.51000E-03,-94.37500E-03,-10.62500E-03,-12.50000E-03,+24.95000E-03
-4.50000E-03,-94.37500E-03,+1.87500E-03,-46.87500E-03,+21.82500E-03
-4.49000E-03,-94.37500E-03,-7.50000E-03,-3.12500E-03,+21.82500E-03
-4.48000E-03,-94.37500E-03,-7.50000E-03,-6.25000E-03,+18.70000E-03
-4.47000E-03,-91.25000E-03,-7.50000E-03,-9.37500E-03,+24.95000E-03
-4.46000E-03,-94.37500E-03,-7.50000E-03,-6.25000E-03,+21.82500E-03
-4.45000E-03,-91.25000E-03,-10.62500E-03,-37.50000E-03,+15.57500E-03
-4.44000E-03,-94.37500E-03,-7.50000E-03,-3.12500E-03,+9.32500E-03
-4.43000E-03,-91.25000E-03,-7.50000E-03,-3.12500E-03,+3.07500E-03
-4.42000E-03,-94.37500E-03,-4.37500E-03,-9.37500E-03,+18.70000E-03
-4.41000E-03,-91.25000E-03,-7.50000E-03,-9.37500E-03,+12.45000E-03
-4.40000E-03,-91.25000E-03,-7.50000E-03,-28.12500E-03,+12.45000E-03
-4.39000E-03,-91.25000E-03,-10.62500E-03,-6.25000E-03,+12.45000E-03
-4.38000E-03,-88.12500E-03,-4.37500E-03,-3.12500E-03,+12.45000E-03
