x-axis,B,2,3,4
second,Volt,Volt,Volt,Volt
-9.98200E-03,-224.37500E-03,+148.18750E-03,+4.68750E-03,-60.49375E-03
-9.96200E-03,-224.37500E-03,+151.31250E-03,+1.56250E-03,-65.18125E-03
-9.94200E-03,-230.00000E-03,+154.43750E-03,+136.25000E-03,-67.05625E-03
-9.92200E-03,-227.81250E-03,+157.56250E-03,+151.25000E-03,-62.99375E-03
-9.90200E-03,-230.31250E-03,+160.68750E-03,+156.87500E-03,-66.74375E-03
-9.88200E-03,-233.43750E-03,+163.81250E-03,+19.68750E-03,-65.80625E-03
-9.86200E-03,-233.75000E-03,+166.93750E-03,+1.56250E-03,-68.46250E-03
-9.84200E-03,-236.56250E-03,+170.06250E-03,+4.06250E-03,-71.58750E-03
-9.82200E-03,-236.87500E-03,+170.37500E-03,+150.62500E-03,-77.52500E-03
-9.80200E-03,-239.68750E-03,+173.18750E-03,+164.06250E-03,-76.74375E-03
-9.78200E-03,-240.00000E-03,+176.31250E-03,+169.37500E-03,-72.36875E-03
-9.76200E-03,-242.81250E-03,+176.62500E-03,+172.81250E-03,-80.33750E-03
-9.74200E-03,-243.12500E-03,+179.43750E-03,+21.25000E-03,-75.65000E-03
-9.72200E-03,-240.31250E-03,+182.56250E-03,+4.37500E-03,-77.83750E-03
-9.70200E-03,-240.00000E-03,+182.87500E-03,+1.56250E-03,-82.36875E-03
-9.68200E-03,-242.81250E-03,+185.68750E-03,+161.56250E-03,-87.05625E-03
-9.66200E-03,-245.93750E-03,+188.81250E-03,+182.18750E-03,-87.52500E-03
-9.64200E-03,-251.87500E-03,+189.12500E-03,+182.50000E-03,-87.52500E-03
-9.62200E-03,-249.68750E-03,+189.12500E-03,+25.00000E-03,-87.52500E-03
-9.60200E-03,-249.37500E-03,+194.75000E-03,+1.87500E-03,-87.52500E-03
-9.58200E-03,-246.56250E-03,+195.37500E-03,-1.56250E-03,-93.15000E-03
-9.56200E-03,-251.87500E-03,+195.37500E-03,+937.50E-06,-96.58750E-03
-9.54200E-03,-255.31250E-03,+198.18750E-03,+172.81250E-03,-96.90000E-03
-9.52200E-03,-252.81250E-03,+195.68750E-03,+194.68750E-03,-99.71250E-03
-9.50200E-03,-252.50000E-03,+201.00000E-03,+195.00000E-03,-98.61875E-03
-9.48200E-03,-249.68750E-03,+201.62500E-03,+26.25000E-03,-94.24375E-03
-9.46200E-03,-252.18750E-03,+201.62500E-03,+4.68750E-03,-102.21250E-03
-9.44200E-03,-255.31250E-03,+204.43750E-03,-1.25000E-03,-97.52500E-03
-9.42200E-03,-255.62500E-03,+196.31250E-03,+180.93750E-03,-105.33750E-03
-9.40200E-03,-252.81250E-03,+206.62500E-03,+198.43750E-03,-103.46250E-03
-9.38200E-03,-252.50000E-03,+210.68750E-03,+203.75000E-03,-103.15000E-03
-9.36200E-03,-252.50000E-03,+208.18750E-03,+201.56250E-03,-100.33750E-03
-9.34200E-03,-249.68750E-03,+210.68750E-03,+26.87500E-03,-107.05625E-03
-9.32200E-03,-252.18750E-03,+208.18750E-03,+1.87500E-03,-100.80625E-03
-9.30200E-03,-249.68750E-03,+207.87500E-03,+1.25000E-03,-105.65000E-03
-9.28200E-03,-252.18750E-03,+210.68750E-03,+186.87500E-03,-104.86875E-03
-9.26200E-03,-252.50000E-03,+208.18750E-03,+204.68750E-03,-106.11875E-03
-9.24200E-03,-252.50000E-03,+210.68750E-03,+207.18750E-03,-104.86875E-03
