x-axis,B,2,3,4
second,Volt,Volt,Volt,Volt
-10.00000E-03,+40.00000E-03,-198.75000E-03,-194.37501E-03,+81.20000E-03
-9.98000E-03,+46.25000E-03,-186.25000E-03,-206.87501E-03,+90.57500E-03
-9.96000E-03,+43.12500E-03,-205.00000E-03,-13.12500E-03,+81.20000E-03
-9.94000E-03,+46.25000E-03,-211.25000E-03,-10.00000E-03,+81.20000E-03
-9.92000E-03,+49.37500E-03,-211.25000E-03,-10.00000E-03,+84.32500E-03
-9.90000E-03,+55.62500E-03,-211.25000E-03,-206.87501E-03,+96.82500E-03
-9.88000E-03,+58.75000E-03,-217.50000E-03,-210.00001E-03,+87.45000E-03
-9.86000E-03,+58.75000E-03,-223.75000E-03,-213.12501E-03,+99.95000E-03
-9.84000E-03,+65.00000E-03,-223.75000E-03,-16.25000E-03,+93.70000E-03
-9.82000E-03,+65.00000E-03,-223.75000E-03,-13.12500E-03,+93.70000E-03
-9.80000E-03,+65.00000E-03,-223.75000E-03,-10.00000E-03,+99.95000E-03
-9.78000E-03,+71.25000E-03,-223.75000E-03,-219.37501E-03,+103.07500E-03
-9.76000E-03,+74.37500E-03,-230.00000E-03,-225.62501E-03,+99.95000E-03
-9.74000E-03,+80.62500E-03,-236.25000E-03,-228.75001E-03,+106.20000E-03
-9.72000E-03,+80.62500E-03,-242.50000E-03,-231.87501E-03,+96.82500E-03
-9.70000E-03,+80.62500E-03,-242.50000E-03,-16.25000E-03,+99.95000E-03
-9.68000E-03,+83.75000E-03,-242.50000E-03,-13.12500E-03,+109.32500E-03
-9.66000E-03,+90.00000E-03,-248.75000E-03,-10.00000E-03,+109.32500E-03
-9.64000E-03,+93.12500E-03,-248.75000E-03,-244.37501E-03,+109.32500E-03
-9.62000E-03,+93.12500E-03,-255.00000E-03,-250.62501E-03,+106.20000E-03
-9.60000E-03,+96.25000E-03,-261.25000E-03,-250.62501E-03,+106.20000E-03
-9.58000E-03,+99.37500E-03,-261.25000E-03,-63.12501E-03,+112.45000E-03
-9.56000E-03,+102.50000E-03,-261.25000E-03,-13.12500E-03,+109.32500E-03
-9.54000E-03,+105.62500E-03,-261.25000E-03,-10.00000E-03,+118.70000E-03
-9.52000E-03,+108.75000E-03,-267.50000E-03,-10.00000E-03,+121.82500E-03
-9.50000E-03,+108.75000E-03,-273.75000E-03,-263.12501E-03,+115.57500E-03
-9.48000E-03,+115.00000E-03,-267.50000E-03,-266.25001E-03,+124.95000E-03
-9.46000E-03,+118.12500E-03,-273.75000E-03,-269.37501E-03,+128.07500E-03
-9.44000E-03,+121.25000E-03,-286.25000E-03,-19.37500E-03,+124.95000E-03
