second,Volt1,Volt2,Volt3,Volt4
-4.9843E-03,+47.3125E-03,-3.1250E-03,+1.2000E-03,-25.4375E-03
-4.9743E-03,+53.5625E-03,-3.1250E-03,+1.2000E-03,-31.6875E-03
-4.9643E-03,+59.8125E-03,-3.1250E-03,+1.2000E-03,-32.5938E-03
-4.9543E-03,+67.8438E-03,-4.9063E-03,+2.9813E-03,-33.0313E-03
-4.9443E-03,+73.6563E-03,-4.4688E-03,+2.5438E-03,-32.5938E-03
-4.9343E-03,+80.3438E-03,-3.1250E-03,-2.3625E-03,-31.2500E-03
-4.9243E-03,+87.9375E-03,-3.1250E-03,-5.0500E-03,-27.6875E-03
-4.9143E-03,+94.1875E-03,-3.1250E-03,-5.0500E-03,-26.7813E-03
-4.9043E-03,+95.0938E-03,-1.3438E-03,-3.2688E-03,-21.0000E-03
-4.8943E-03,+97.3125E-03,-1.7813E-03,-1.9250E-03,-20.9688E-03
-4.8843E-03,+101.7813E-03,-4.9063E-03,-3.7063E-03,-26.7813E-03
-4.8743E-03,+103.1250E-03,-6.2500E-03,-3.2688E-03,-26.3438E-03
-4.8643E-03,+103.1250E-03,-8.0313E-03,-3.7063E-03,-21.4375E-03
-4.8543E-03,+103.1250E-03,-12.9375E-03,-3.2688E-03,-18.7500E-03
-4.8443E-03,+103.1250E-03,-15.6250E-03,-1.9250E-03,-15.1875E-03
-4.8343E-03,+99.5625E-03,-15.6250E-03,-143.7E-06,-10.7188E-03
-4.8243E-03,+95.0938E-03,-19.1875E-03,-11.2688E-03,-9.3750E-03
-4.8143E-03,+88.4063E-03,-23.6563E-03,-20.6750E-03,-9.3750E-03
-4.8043E-03,+82.5938E-03,-26.7813E-03,-20.6750E-03,-11.1563E-03
-4.7943E-03,+81.2500E-03,-33.4688E-03,-18.8938E-03,-12.5000E-03
-4.7843E-03,+75.9063E-03,-39.2813E-03,-10.4250E-03,-8.9375E-03
-4.7743E-03,+68.3125E-03,-45.9688E-03,-5.0500E-03,-4.4688E-03
-4.7643E-03,+58.5000E-03,-53.5625E-03,-5.0500E-03,-6.6875E-03
-4.7543E-03,+47.7813E-03,-59.8125E-03,-3.2688E-03,-7.5938E-03
-4.7443E-03,+41.9688E-03,-66.0625E-03,-41.1125E-03,-2.6875E-03
-4.7343E-03,+35.2813E-03,-72.3125E-03,-68.8938E-03,+1.7813E-03
-4.7243E-03,+25.9063E-03,-78.5625E-03,-65.7688E-03,+1.3438E-03
-4.7143E-03,+20.0938E-03,-83.0313E-03,-64.4250E-03,+0.0E+00
-4.7043E-03,+13.4063E-03,-87.9375E-03,-32.3625E-03,+0.0E+00
-4.6943E-03,+4.0313E-03,-94.1875E-03,-6.3938E-03,+3.5625E-03
-4.6843E-03,-1.7813E-03,-98.6563E-03,-3.2688E-03,+906.3E-06
-4.6743E-03,-3.1250E-03,-101.7813E-03,-5.4875E-03,-3.1250E-03
-4.6643E-03,-6.6875E-03,-106.6875E-03,-66.9563E-03,-3.1250E-03
-4.6543E-03,-9.3750E-03,-111.1563E-03,-109.5188E-03,-3.1250E-03
-4.6443E-03,-11.1563E-03,-114.2813E-03,-108.1750E-03,+437.5E-06
-4.6343E-03,-12.5000E-03,-115.6250E-03,-108.1750E-03,+1.3438E-03
-4.6243E-03,-8.9375E-03,-113.8438E-03,-56.5188E-03,+1.7813E-03
-4.6143E-03,-4.4688E-03,-112.5000E-03,-12.2063E-03,+3.1250E-03
-4.6043E-03,-1.3438E-03,-110.7188E-03,-8.1750E-03,+6.6875E-03
-4.5943E-03,+7.1250E-03,-107.5938E-03,-6.3938E-03,+2.2500E-03
-4.5843E-03,+14.2813E-03,-104.4688E-03,+7.4188E-03,+4.0000E-03
-4.5743E-03,+20.9688E-03,-101.3438E-03,-47.3000E-03,+11.1563E-03
-4.5643E-03,+32.1250E-03,-96.4375E-03,-97.4563E-03,+12.5000E-03
-4.5543E-03,+42.8438E-03,-88.4063E-03,-97.0188E-03,+10.7188E-03
-4.5443E-03,+54.0000E-03,-80.8125E-03,-95.6750E-03,+11.1563E-03
-4.5343E-03,+66.5000E-03,-74.5625E-03,-47.5813E-03,+14.2813E-03
-4.5243E-03,+80.7813E-03,-66.5313E-03,-9.5188E-03,+22.7500E-03
-4.5143E-03,+94.6250E-03,-57.1563E-03,-6.3938E-03,+28.1250E-03
-4.5043E-03,+108.9063E-03,-49.5625E-03,-6.8313E-03,+26.3438E-03
-4.4943E-03,+122.7500E-03,-41.5313E-03,-27.7688E-03,+26.7813E-03
-4.4843E-03,+133.4688E-03,-37.5000E-03,-44.3313E-03,+31.6875E-03
-4.4743E-03,+146.4063E-03,-32.1563E-03,-43.8938E-03,+34.3750E-03
-4.4643E-03,+158.4688E-03,-22.7813E-03,-42.5500E-03,+37.9375E-03
-4.4543E-03,+169.6250E-03,-16.9688E-03,-19.3938E-03,+42.4063E-03
-4.4443E-03,+178.5625E-03,-13.8438E-03,-3.7063E-03,+40.1875E-03
-4.4343E-03,+186.5938E-03,-8.9375E-03,-5.0500E-03,+41.0625E-03
-4.4243E-03,+194.1875E-03,-8.0313E-03,-5.0500E-03,+41.9688E-03
-4.4143E-03,+202.2188E-03,-7.5938E-03,-8.6125E-03,+47.7500E-03
-4.4043E-03,+206.2500E-03,-9.8125E-03,-9.5188E-03,+53.1250E-03
-4.3943E-03,+208.0313E-03,-10.7188E-03,-6.3938E-03,+51.3438E-03
-4.3843E-03,+209.3750E-03,-11.1563E-03,-5.0500E-03,+50.0000E-03
-4.3743E-03,+209.3750E-03,-16.0625E-03,-5.0500E-03,+51.7813E-03
